날짜,시가,고가,저가,종가,거래량,등락률
2025-03-14,54500,55100,54400,54700,10845154,0.0
2025-03-17,55500,57800,55400,57600,35559021,5.301645338208409
2025-03-18,58800,59000,57300,57600,28138594,0.0
2025-03-19,57400,59200,57400,58500,29421759,1.5625
2025-03-20,59200,60300,58500,60200,34989004,2.905982905982906
2025-03-21,60900,61700,60400,61700,40155612,2.4916943521594686
2025-03-24,61200,61600,60500,60500,14088094,-1.9448946515397085
2025-03-25,60900,61100,59500,59800,17259455,-1.1570247933884297
2025-03-26,59800,61400,59700,61400,16431645,2.6755852842809364
2025-03-27,60900,62000,60800,61800,20389790,0.6514657980456027
2025-03-28,60700,61100,60000,60200,16282514,-2.5889967637540456
2025-03-31,59500,59700,57800,57800,17633494,-3.9867109634551494
2025-04-01,58700,59600,57900,58800,13841706,1.7301038062283738
2025-04-02,58800,59400,58300,58800,14402297,0.0
2025-04-03,56900,57800,56900,57600,19508076,-2.0408163265306123
2025-04-04,56200,58200,55700,56100,23527139,-2.604166666666667
2025-04-07,53300,54100,53100,53200,31998883,-5.169340463458111
2025-04-08,55000,55300,53300,53500,25532845,0.5639097744360901
2025-04-09,53300,54300,52900,53000,20576960,-0.9345794392523363
2025-04-10,56600,56700,55000,56400,22948172,6.415094339622642
2025-04-11,55600,55700,54800,55200,13930480,-2.127659574468085
2025-04-14,56300,56700,55800,56200,12852613,1.8115942028985508
2025-04-15,56300,57100,56200,56600,8998640,0.7117437722419928
2025-04-16,56000,56200,54500,54700,14437025,-3.356890459363958
2025-04-17,54700,55300,54500,55100,10867069,0.7312614259597806
2025-04-18,55300,55600,54900,55300,5848342,0.3629764065335753
2025-04-21,55200,56000,55100,55400,5941847,0.18083182640144665
2025-04-22,54900,55500,54700,55000,9532469,-0.7220216606498195
2025-04-23,56000,56100,55500,55700,11148692,1.2727272727272727
2025-04-24,55600,55800,55200,55700,10580377,0.0
2025-04-25,56400,56400,55600,55700,12183303,0.0
2025-04-28,55800,55900,55500,55800,9341518,0.17953321364452424
2025-04-29,55700,56500,55600,55800,10295518,0.0
2025-04-30,55900,56000,55300,55500,13014189,-0.5376344086021506
2025-05-02,55000,55500,54200,54300,22454204,-2.1621621621621623
2025-05-07,54500,55000,54300,54600,17136991,0.5524861878453038
2025-05-08,55100,55500,54500,54600,16320532,0.0
2025-05-09,54700,55000,54400,54800,7814322,0.3663003663003663
2025-05-12,55200,57600,55000,57600,15414702,5.109489051094891
2025-05-13,57700,58200,56800,56900,16842801,-1.215277777777778
2025-05-14,57500,57900,57000,57400,12468089,0.8787346221441126
2025-05-15,57400,58600,57100,57300,13139736,-0.17421602787456447
2025-05-16,57400,57500,56700,56800,10385352,-0.8726003490401396
2025-05-19,56400,56400,55500,55800,9802105,-1.7605633802816902
2025-05-20,56200,56700,55700,55900,9080577,0.17921146953405018
2025-05-21,56200,56600,55700,55700,7794181,-0.35778175313059035
2025-05-22,55300,55500,54500,54700,15254278,-1.7953321364452424
2025-05-23,55000,55200,54100,54200,11247115,-0.9140767824497258
2025-05-26,53900,55000,53700,54700,10901337,0.9225092250922509
2025-05-27,54200,54500,53800,53900,13439520,-1.4625228519195612
2025-05-28,54300,56100,54200,55900,17516283,3.710575139146568
